ticker,company,price,date
ABSA,Absa Bank Kenya Plc,9.66,16/10/2020
ARM,ARM Cement Limited,5.55,16/10/2020
BAMB,Bamburi Cement Limited,23.2,16/10/2020
BAT,British American Tobacco (Kenya) Ltd.,336,16/10/2020
BERG,Crown Paints Kenya Limited,42.45,16/10/2020
BKG,Bank of Kigali Group Limited,13.05,16/10/2020
BOC,BOC Kenya Limited,56.5,16/10/2020
BRIT,Britam Holdings Limited,7.5,16/10/2020
C&G,Car and General (Kenya) Limited,24,16/10/2020
CABL,East African Cables Limited,1.5,16/10/2020
CARB,Carbacid Investments Limited,8.8,16/10/2020
CFC,Stanbic Holdings Limited,80,16/10/2020
CFCI,Liberty Kenya Holdings Limited,7.6,16/10/2020
CIC,CIC Insurance Group Limited,2.3,16/10/2020
COOP,Co-operative Bank of Kenya Limited,11.9,16/10/2020
DCON,Deacons (East Africa) Plc,0.45,16/10/2020
DTK,Diamond Trust Bank Kenya Limited,62.75,16/10/2020
EABL,East African Breweries Limited,163,16/10/2020
EGAD,Eaagads Limited,13.25,16/10/2020
EQTY,Equity Group Holdings Limited,34.9,16/10/2020
EVRD,Eveready East Africa Limited,0.97,16/10/2020
FAHR,STANLIB Fahari Income REIT,5.36,16/10/2020
FIRE,Sameer Africa Limited,3.5,16/10/2020
FTGH,Flame Tree Group Holdings Limited,1.43,16/10/2020
GLD,NewGold Exchange Traded Fund,"1,965.00",16/10/2020
HAFR,Home Afrika Limited,0.44,16/10/2020
HFCK,Housing Finance Company Limited,3.91,16/10/2020
I&M,I&M Holdings Plc,43.65,16/10/2020
ICDC,Centum Investment Company Limited,18.5,16/10/2020
JUB,Jubilee Holdings Limited,275,16/10/2020
KAPC,Kapchorua Tea Company Limited,80.5,16/10/2020
KCB,KCB Bank Kenya Limited,37.5,16/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5,16/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.27,16/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.75,16/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,16/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,16/10/2020
KQ,Kenya Airways Limited,3.83,16/10/2020
KUKZ,Kakuzi Limited,380,16/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",16/10/2020
LIMT,Limuru Tea Company Limited,400,16/10/2020
LKL,Longhorn Publishers Limited,4.65,16/10/2020
MSC,Mumias Sugar Company Limited,0.28,16/10/2020
NBK,National Bank of Kenya Limited,4.12,16/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,16/10/2020
NIC,NIC Bank Limited,23.25,16/10/2020
NMG,Nation Media Group,15.75,16/10/2020
NSE,Nairobi Securities Exchange Limited,8.42,16/10/2020
OCH,Olympia Capital Holdings Limited,2.3,16/10/2020
ORCH,Kenya Orchards Limited,11.05,16/10/2020
PAFR,Sanlam Kenya Plc,12.7,16/10/2020
PORT,East African Portland Cement Co. Ltd,16,16/10/2020
SASN,Sasini Tea and Coffee Limited,19,16/10/2020
SCAN,ScanGroup Limited,6.96,16/10/2020
SCBK,Standard Chartered Bank Limited,160,16/10/2020
SCOM,Safaricom Limited,30.05,16/10/2020
SGL,Standard Group Limited,18.65,16/10/2020
TCL,Trans Century Limited,1.58,16/10/2020
TOTL,Total Kenya Limited,24.5,16/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.65,16/10/2020
UCHM,Uchumi Supermarket Limited,0.3,16/10/2020
UMME,Umeme Limited,6.9,16/10/2020
UNGA,Unga Group Limited,30.65,16/10/2020
